
Processing printEtaScale.C...
112 0.986841 0.000678693
113 0.987626 0.000662569
114 0.989519 0.000684299
115 0.988653 0.000689015
116 0.984892 0.00060866
117 0.987627 0.000738411
118 1.00564 0.000723651
119 0.986077 0.000781158
120 0.966217 0.000776533
121 0.981724 0.00082944
122 0.94835 0.000996496
123 0.957085 0.00115557
124 0.955336 0.00172866
