
Processing printEtaScale.C...
112 0.985004 0.000684787
113 0.984543 0.000663145
114 0.983182 0.000676604
115 0.983502 0.0006907
116 0.980354 0.000616303
117 0.983065 0.000732452
118 0.997911 0.000762117
119 0.933893 0.000821591
120 0.909906 0.000931686
121 0.917032 0.00121223
122 0.945109 0.00198751
123 1.22602 0.00544276
124 1.02264 0.00429436
